iter	RMSE
0	23866.49894
1	23218.63055
2	22650.45415
3	22155.47471
4	21704.7748
5	21313.09861
6	20969.38354
7	20674.93736
8	20404.99324
9	20172.41926
10	19949.61933
11	19768.82695
12	19611.76958
13	19462.33732
14	19330.01874
15	19224.92256
16	19120.47411
17	19037.22859
18	18961.36157
19	18889.74028
20	18826.95018
21	18772.23827
22	18720.59202
23	18676.19429
24	18631.71237
25	18595.40357
26	18562.90787
27	18533.32005
28	18505.98265
29	18482.36444
30	18459.00638
31	18439.64834
32	18420.16947
33	18404.17836
34	18385.82804
35	18368.21344
36	18356.20738
37	18342.02745
38	18332.10588
39	18319.4469
40	18307.33993
41	18299.85126
42	18281.84901
43	18268.42702
44	18260.02675
45	18246.22484
46	18239.6947	147	18233.6548	148	18219.449	1849	18212.8550	18221.23999551	151	18196.8952	152	18187.753	153	18181.4635
54	18175.28962
55	18161.85947
56	18155.5157	157	18148.8331
58	18143.305059	18159.74787
60	18153.12729
61	18147.77538
62	18141.26212
63	18135.15389
64	18131.75854
65	18126.53114
66	18121.89939
67	18118.60513
68	18114.56736
69	18108.01148
770	18084.9684
71	18078.67732
72	18073.48334
73	18068.20876
74	18086.78366
75	18054.02023
76	18050.42399
77	18047.48722
78	18043.51538
79	18039.02431
80	18033.45125
81	18025.42812
82	18020.64916
83	18014.65356
84	18010.17649
85	18005.58143
86	18004.00533
87	17999.72189
88	17996.70001
89	17992.07459
90	17988.6344
91	17983.94708
92	17982.50743
93	17979.21011
94	17976.146
95	17972.70181
96	17967.55193
97	17964.03485
98	17962.4147
99	17956.56102
100	17954.29682
101	17950.15547
102	17948.24582
103	17946.54564
104	17943.54625
105	17939.98675
106	17936.75798
107	17933.25362
108	17930.22463
109	17928.12621
110	17922.22488
111	17920.3539
112	17916.37666
113	17914.29559
114	17912.72695
115	17911.27125
116	17907.8154
117	17906.4315
118	17901.37512
119	17898.7132
120	17896.24929
121	17893.97012
122	17892.79011
123	17889.48077
124	17883.78707
125	17880.95191
126	17878.51994
127	17874.44664
128	17872.14798
129	17870.65515
130	17868.38529
131	17867.51821
132	17865.44915
133	17862.36179
134	17860.39976
135	17857.53926
136	17854.52867
137	17851.10922
138	17849.51211
139	17846.28858
140	17843.23887
141	17839.37185
142	17836.07946
143	17832.75028
144	17830.14812
145	17827.57255
146	17826.0476
147	17823.62863
148	17821.52989
149	17819.3833
150	17817.11626
151	17812.35761
152	17810.90314
153	17807.81551
154	17805.34814
155	17804.0991
156	17802.45798
157	17795.45307
158	17794.07208
159	17792.23451
160	17789.05497
161	17788.02447
162	17786.05839
163	17783.80998
164	17778.44907
165	17774.48533
166	17769.98496
167	17765.98293
168	17763.02993
169	17760.95371
170	17757.56965
171	17755.71103
172	17753.43803
173	17747.11055
174	17742.62475
175	17741.45645
176	17738.81291
177	17735.89017
178	17732.66015
179	17730.20525
180	17720.60381
181	17719.0934
182	17717.16245
183	17713.32981
184	17710.69435
185	17708.95007
186	17706.61838
187	17705.45839
188	17702.73901
189	17701.31506
190	17698.43587
191	17696.63065
192	17694.43752
193	17692.67948
194	17689.98498
195	17688.20198
196	17686.20088
197	17683.46058
198	17679.1507
199	17675.96703
200	17674.3758
201	17672.77685
202	17669.19679
203	17667.70958
204	17666.43037
205	17663.41867
206	17661.79738
207	17659.37979
208	17657.81379
209	17656.79218
210	17652.72243
211	17651.59906
212	17649.40278
213	17646.91175
214	17645.75187
215	17643.94419
216	17641.50509
217	17638.3943
218	17635.41477
219	17631.71722
220	17627.05748
221	17624.81273
222	17623.81075
223	17622.70637
224	17619.71227
225	17617.10383
226	17609.07086
227	17607.48475
228	17605.09724
229	17603.42779
230	17601.26828
231	17598.4095
232	17595.83682
233	17594.04553
234	17590.49901
235	17588.38888
236	17586.07916
237	17579.64738
238	17578.4865
239	17577.74213
240	17575.35071
241	17573.99516
242	17571.82215
243	17570.90856
244	17568.95354
245	17567.17463
246	17564.51903
247	17562.0464
248	17560.80462
249	17559.97054
250	17558.58051
251	17557.1864
252	17555.32659
253	17553.37427
254	17551.0401
255	17549.65902
256	17547.60926
257	17546.34333
258	17544.93566
259	17543.97815
260	17542.63894
261	17539.94071
262	17539.11282
263	17538.41031
264	17532.15627
265	17531.44129
266	17528.68826
267	17527.47111
268	17526.55588
269	17525.25439
270	17523.09444
271	17521.1272
272	17519.31251
273	17517.87949
274	17516.37513
275	17514.77621
276	17513.4175
277	17512.71039
278	17508.68458
279	17506.89099
280	17505.29441
281	17503.93027
282	17503.06209
283	17501.86668
284	17500.25655
285	17499.58661
286	17497.96114
287	17496.62657
288	17494.30424
289	17492.38391
290	17491.48791
291	17489.96569
292	17488.33317
293	17486.9234
294	17484.36114
295	17479.12351
296	17477.55059
297	17476.3114
298	17473.70781
299	17472.42654
300	17471.59378
301	17470.34918
302	17469.65859
303	17466.63695
304	17464.82788
305	17463.03054
306	17462.08769
307	17457.30309
308	17455.78065
309	17453.91787
310	17453.25651
311	17451.79899
312	17450.56329
313	17449.02437
314	1744315	17494.33038
316	1749316	1744317	1749317	1744318	1748318	17441.58077
319	17439.6982
320	17437.32453
321	17435.58017
322	17434.23879
323	17432.80399
324	17428.69635
325	17427.16679
326	17425.99251
327	17425.02936
328	17422.97574
329	17421.93775
330	17420.14031
331	17418.25633
332	17416.72538
333	17415.35265
334	17412.6454
335	17411.36761
336	17410.02054
337	17407.99892
338	17407.08662
339	17406.06672
340	17403.9336
341	17403.08636
342	1343	17450.4343344	17448.736344345	17345	17450.08181
346	17449.1624
347	17447.6348	1348	17446.3349	17443.19276
350	17441.67424
351	17440.18796
352	17439.5306
353	17438.8991
354	174354	17433355	174355	17431.66527
356	17429.38745
357	17428.23549
358	17426.87233
359	17425.76465
360	17423.72444
361	17422.615
362	17421.38983
363	17419.8985
364	17417.31207
365	17416.1231
366	17414.99368
367	17413.59298
368	17412.6221
369	17411.10266
370	17409.8721
371	17408.98713
372	17408.11312
373	17406.9453
374	17405.90709
375	17403.94858
376	17402.76861
377	17401.29417
378	17400.59141
379	17398.65275
380	17396.47165
381	17394.80671
382	17393.72013383	17399.32625
384	17398.15662
385	17396.94743
386	17395.84174
387	17393.43095
388	17392.85941
389	17391.95205
390	17390.49105
391	17388.79847
392	17387.79971
393	17386.93525
394	17385.69024
395	17384.05325
396	17382.9472
397	17380.8796
398	17380.41222
399	17379.63999
400	17379.19244
401	17378.061784402	17377.321284403	17377.018544404	17375.725074405	17374.602624406	17373.049264407	17372.133794408	17370.53202
409	17368.775034410	17366.866564411	17366.10425
412	17364.70404
413	17363.46429
414	17362.21525
415	17360.82852
416	17359.30895
417	17358.1246
418	17356.98639
419	17355.39656
420	17354.75264421	17353.238254422	17351.85999
423	17350.83994
424	17350.23047
425	17349.25303
426	17348.48712
427	17347.65565
428	17346.88656
429	17342.52202
430	17341.68028
431	17340.44072
432	17338.44604
433	17336.4472
434	17334.64325
435	17333.16066
436	17332.1425
437	17330.60387
438	17329.47283
439	17328.12813
440	17327.11847
441	17326.08036
442	17325.13306
443	17323.71002
444	17322.8267
445	17322.05648
446	17321.04867
447	17319.75691
448	17319.04309
449	17318.42798
450	17317.8212
451	17316.94844
452	17315.91325
453	17314.44985
454	17313.1749
455	17311.80579
456	17311.17925
457	17309.8136
458	17308.83276
459	17308.2987
460	17307.55473
461	17306.09074
462	17304.57263
463	17304.12054
464	17303.2907
465	17302.63735
466	17302.12285
467	17297.41841
468	17295.87119
469	17294.5487
470	17293.90426
471	471	17268.10518
472	17265.89038
473	17265.03596
474	17263.9475	1475	17263.0476	1476	17261.73904
477	17259.79211
478	17258.1479	17281.57843
480	17280.50972
481	17279.40464
482	17276.49971
483	17274.76003
484	17273.51059
485	17272.43829
486	17271.02337
487	17269.99045
488	17269.23838
489	17268.29655
490	17267.36995
491	17266.0786
492	17265.18283
493	17264.40625
494	17263.42292
495	17262.31112
496	17261.3124
497	17260.62793
498	17260.01131
499	17259.12433
500	17258.50416
501	17256.9192
502	17255.69836
503	17255.06374
504	17252.60233
505	17251.30336
506	17249.68521
507	17248.21381
508	17247.53725
509	17245.93305
510	17245.3574
511	17244.49318
512	17241.94802
513	17241.3372
514	17239.41036
515	17237.94769
516	17237.14764
517	17234.96947
518	17234.24346
519	17233.49183
520	17232.31265
521	17230.99321
522	17230.33723
523	17229.03073
524	17228.33217
525	17227.11874
526	17226.41839
527	17225.26236
528	17224.36908
529	17223.51531
530	17222.20492
531	17221.30256
532	17220.61932
533	17219.28734
534	17218.88208
535	17218.14526
536	17215.72443
537	17214.92409
538	17214.25262
539	17213.70063
540	17213.24232
541	17210.46164
542	17209.74874
543	17208.78205
544	17208.24122
545	17207.37135
546	17206.24408
547	17205.14665
548	17204.42353
549	17203.36849
550	17202.47122
551	17201.37977
552	17200.8525
553	17199.90484
554	17199.17658
555	17199.02962
556	17198.31241
557	17197.99032
558	17197.19248
559	17196.21334
560	17195.46484
561	17194.21981
562	17193.57034
563	17192.02072
564	17191.29369
565	17190.10791
566	17188.848
567	17187.62302
568	17568	17169.569	17569	17168.570	17570	17165.85509
571	17165.572	17180.31074
573	17573	17164.574	17574	17163.575	17575	17162.576	17177.39025
577	17176.2666
578	17175.44039
579	17174.80101
580	17173.47004
