iter	Passed	Remaining
0	302	302192
1	307	153574
2	397	132236
3	402	100303
4	504	100367
5	595	98679
6	602	85425
7	607	75339
8	697	76820
9	703	69642
10	794	71474
11	801	65988
12	907	68879
13	998	70341
14	1093	71820
15	1103	67875
16	1194	69050
17	1198	65410
18	1204	62193
19	1294	63447
20	1300	60649
21	1390	61799
22	1395	59288
23	1400	56953
24	1405	54797
25	1491	55868
26	1497	53958
27	1501	52134
28	1590	53268
29	1595	51586
30	1599	49982
31	1687	51060
32	1692	49600
33	1698	48246
34	1786	49268
35	1792	48000
36	1797	46779
37	1887	47780
38	1893	46650
39	1898	45563
40	1988	46502
41	1996	45532
42	2089	46494
43	2095	45525
44	2100	44576
45	2190	45432
447	2185	43345448	2191	42533449	2279	4350	2380	44292
51	2470	45038
52	2478	44278
53	2569	45010
54	53	2496	43755554	2586	44442
55	2592	43757	557	2675	4358	57	2695	43759	2871	44986
60	2878	44305
61	2973	44982
62	3066	45603
63	3071	44927
64	3076	44257
65	3164	44779
66	3169	44134
67	3174	43503
68	3179	42869	69	3267	43470	70	3275	42871	71	70	3385	44293
71	3394	43757
72	3483	44274	3574	44088
75	3663	44534
76	3667	43966
77	76	3594	43078	3769	43946
79	78	3881	45248
79	3886	44693
80	3981	45167
81	4081	45692
82	4093	45227
83	4186	45651
84	4193	45136
85	4197	44612
86	4285	44977
87	4291	44475
88	4295	43964
89	4384	44329
90	4478	44740
91	4486	44283
92	4494	43834
93	4582	44169
94	4587	43706
95	4681	44079
96	4686	43631
97	4692	43187
98	4780	43511
99	4785	43072
100	4791	42646
101	4880	42967
102	4887	42568
103	4979	42901
104	4988	42519
105	4995	42135
106	5086	42449
107	5179	42781
108	5183	42375
109	5275	42681
110	5280	42287
111	5385	42697
112	5390	42313
113	5477	42571
114	5482	42193
115	5488	41823
116	5576	42089
117	5582	41725
118	5588	41373
119	5677	41637
120	5683	41284
121	5688	40935
122	5777	41194
123	5783	40857
124	5873	41114
125	5878	40778
126	5883	40445
127	5972	40688
128	5978	40369
129	5987	40066
130	6075	40305
131	6081	39993
132	6175	40255
133	6182	39956
134	6277	40223
135	6285	39931
136	6376	40170
137	6382	39865
138	6470	40082
139	6482	39820
140	6574	40054
141	6585	39788
142	6593	39517
143	6598	39225
144	6601	38927
145	6684	39100
146	6689	38818
147	6696	38551
148	6787	38768
149	6792	38492
150	6798	38225
151	6887	38425
152	6894	38170
153	6900	37906
154	6987	38092
155	6993	37834
156	6997	37574
157	7083	37747
158	7094	37525
159	7187	37733
160	7192	37480
161	7285	37684
162	7296	37466
163	7386	37652
164	7394	37419
165	7495	37657
166	7499	37406
167	7588	37583
168	7682	37774
169	7691	37552
170	7785	37743
171	7793	37519
172	7992	38205
173	7996	37961
174	8001	37722
175	8083	37847
176	8089	37613
177	8094	37381
178	8183	37536
179	8188	37304
180	8194	37077
181	8287	37247
182	8295	37033
183	8387	37195
184	8480	37360
185	8487	37142
186	8492	36921
187	8582	37068
188	8588	36852
189	8677	36992
190	8682	36777
191	8688	36565
192	8777	36702
193	8782	36488
194	8789	36283
195	8880	36426
196	8884	36215
197	8889	36008
198	8978	36140
199	8983	35933
200	8987	35726
201	9077	35859
202	9082	35657
203	9087	35459
204	9177	35589
205	9182	35393
206	9189	35202
207	9287	35364
208	9374	35480
209	9484	35680
210	9576	35809
211	9581	35614
212	9587	35424
213	9678	35548
214	9683	35357
215	9689	35168
216	9779	35285
217	9784	35100
218	9789	34912
219	9877	35020
220	9883	34839
221	9974	34955
222	9980	34773
223	9984	34590
224	10076	34709
225	10172	34839
226	10178	34660
227	10183	34480
228	10272	34586
229	10277	34406
230	10282	34229
231	10286	34052
232	10372	34144
233	10380	33980
234	10473	34093
235	10478	33921
236	10483	33749
237	10576	33862
238	10585	33705
239	10670	33790
240	10676	33625
241	10770	33735
242	10775	33569
243	10868	33673
244	10877	33519
245	10882	33355
246	10886	33188
247	10971	33269
248	10976	33106
249	10981	32943
250	11071	33036
251	11075	32874
252	11079	32713
253	11168	32801
254	11173	32645
255	11179	32489
256	11269	32580
257	11274	32425
258	11280	32272
259	11370	32360
260	11375	32210
261	11465	32295
262	11469	32141
263	11476	31994
264	11568	32086
265	11573	31937
266	11663	32021
267	11668	31870
268	11672	31720
269	11677	31572
270	11765	31649
271	11774	31513
272	11868	31606
273	11876	31469
274	11968	31552
275	11976	31416
276	12068	31500
277	12163	31590
278	12176	31467
279	12276	31567
280	12282	31426
281	12369	31495
282	12376	31355
283	12465	31427
284	12473	31293
285	12478	31152
286	12565	31216
287	12571	31080
288	12663	31154
289	12668	31017
290	12674	30879
291	12764	30950
292	12771	30816
293	12861	30885
294	12867	30749
295	12873	30618
296	12962	30682
297	12966	30545
298	12971	30411
299	13063	30481
300	13068	30348
301	13074	30217
302	13079	30086
303	13084	29957
304	13089	29827
305	13177	29887
306	13182	297573307	13188	296313308	13285	29710
309	13375	29771
310	13381	29645
311	13386	29519
312	13389	29388315	13563	29359
316	13645	29400
317	13650	29276
318	13655	29152
319	13659	29027
3318	13676	29197
319	13686	29083
320	13694	28966
321	13702	28852
322	13705	28727
323	13799	28791
324	13897	28863
325	13987	28918
326	13991	28796
327	13995	28673
328	14000	28554
329	14004	28432
330	14089	28477
331	14093	28357
332	14098	28239
333	14186	28288
334	14191	28171
335	14195	28053
336	14286	28105
337	14299	280063338	14387	280533339	14392	279373340	14397	27343343	14642	27923
344	14646	278345	14729	27841
346	14734	27727
347	14742	27620
348	14828	27659
349349	14947	27759
350	14952	27647
351	15041	27689
352	15045	275353353	15051	274354	15129	27488
355	15140	27389
356	15234	27439
357	15336	27503
358	15342	27394
359	15346	27282
360	15432	27316
361	15534	27378
362	15539	27268
363	15625	27301
364	15630	27193
365	15636	27086
366	15728	27127
367	15736	27025
368	15826	27063
369	15832	26957
370	15837	26850
371	15842	26744
372	15926	26772
373	15931	26665
374	15935	26558
375	16023	26593
376	16028	26487
377	16032	26382
378	16121	26415
379	16127	26312
380	16132	26209
381	16222	26244
382	16228	26143
383383	16244	260384384	16339	26100
385	16343	25997
386	16438	26038
387	16532	26076
388	16541	25981
389	16632	26014
390	16637	25913
391	16642	25813
392	16730	25840
393	16734	25739
394	16740	25639
395	16829	25669
396	16835	25571
397	16841	25473
398	16933	25507
399	17026	25539
400	17031	25440
401	17036	253402402	17040	252403403	17128	252404404	17132	251405405	17137	250406406	17227	251407407	17232	250408408	17239	24911
409	17328	249410410	17334	248411411	17424	24868
412	17429	24773
413	17434	24678
414	17439	24583
415	17528	24607
416	17540	24523
417	17543	24426
418	17628	24444
419	17634	24352
420	17723	243421421	17730	242422422	17836	24330
423	17841	24237
424	17930	24258
425	18023	24285
426	18034	24200
427	18129	24229
428	18222	24254
429	18229	24165
430	18235	24073
431	18326	24095
432	18332	24005
433	18421	24024
434	18427	23934
435	18433	23844
436	18437	23754
437	18525	23770
